Quote,Author
Actions follow being.,Aristotle
Life is growth. You grow or you die.,Phil Knight
Peace is happiness at rest and happiness is peace in motion.,Naval
"Out of intense complexities, intense simplicities emerge.",Winston Churchill
Time is the currency of life.,Daniel Kahneman
Do not cling to a mistake just because you spent a lot of time making it.,Kevin Kelly
Resources are plentiful. Knowledge is scarce.,David Deutsch
People with very high expectations have very low resilience.,Jensen Huang
To disagree silently is disloyal.,Reed Hastings
Feedback is a gift.,Tobi Lutke
The future is already here--its just not evenly distributed.,William Gibson
"You can't think well without writing well, and you can't write well without reading well.",Paul Graham
Life shrinks or expands in proportion to one's courage.,Anais Nun
A problem well stated is half solved.,Charles Kettering
Not wanting someting is as good as having it.,Naval
Procrastination is the soul rebelling against entrapment.,Nassim Taleb
The complicated behavior of the world around us is merely 'surface complexity' arising out of deep simplicity.,John Gribbin
"Surprise is the measure of a poor hypothesis. A good model makes reality look normal, not weird.",Eliezer Yudkowsky
"Wisdom is the discarding of vices and the return to virtue, by way of knowledge.",Naval
Desire is a contract you make with yourself to be unhappy until you get what you want.,Naval
"If you want it done, then go. And if not, then send.",Julius Caesar
Mimicking the herd invites regression to the mean.,Charlie Munger
"All the returns in life, whether in wealth, relationships, or knowledge, come from compound interest.",Naval
"Science is an awkward, disorganized, inefficient activity. It is simply more efficient than any other human activity.",Edwin Land
An entrepreneur can't benefit from macro-scale insight unless his own plans begin at the micro-scale.,Peter Thiel
Think of distribution as something essential to the design of your product.,Peter Thiel
He not busy being born is busy dying.,Bob Dylan
The only person who can cause you more harm than a thief with a dagger is a journalist with a pen.,Warren Buffett
Most of the world's knowledge is written somewhere--you just gotta read the right books.,Bill Ackman
"Victory awaits him who has everything in order--luck, people call it.",Roald Amundsen
You're not advertising to a standing army. You're advertising to a moving parade.,David Ogilvy
"In the best establishments, promises are always kept, whatever it may cost in agony and overtime.",David Ogilvy
"Life can only be understood backwards, but it must be lived forwards.",Soren Kierkegaard
"There is no middle ground; either don't throw any punches, or strike hard and end it quickly.",Peter Thiel
Comfort is killing your dreams.,Chris Choi
"In the real world outside economic theory, every business is successful exactly to the extent that it does something others cannot.",Peter Thiel
"Whatever your views on thermodynamics, it's a powerful metaphor: in business, equilibruim means stasis, and stasis means death.",Peter Thiel
The ones who are crazy enough to think that they can change the world are the ones who do.,Steve Jobs
Abstraction is key to conceptualizing the universe.,Grant Sanderson
Who controls the past controls the future. Who controls the present controls the past.,George Orwell
Those who cannot remember the past are condemned to repeat it.,George Santayana
I think the history of science has shown that valuable consequences often proliferate from simple curiosity.,Claude Shannon
Life is never indifferent and never in balance. We are steadily overcoming our problems or they are steadily overcoming us.,Dee Hock
No dream is so great as the person you might become by remaining true to it.,Dee Hock
To speak is craft; to listen is art.,Dee Hock
People are rewarded in public for what they practice for years in private.,Tony Robbins
It's not just money that compounds. Knowledge and skills do too. Stop quitting!,Michael Bloomberg
"It is the doers; the lean and hungry ones, those with ambition in their eyes and fire in their bellies  who go the furthest and achieve the most.",Michael Bloomberg
"Influencing the future requires four ways of looking at things: as they were, as they are, as they might become, and as they ought to be.",Dee Hock
An ounce of prevention is worth a pound of cure.,Benjamin Franklin
Differentiation is survival.,Jeff Bezos
